Performing initial speed check (None compression)...

Performing Avro speed check with all compressors...

Running benchmarks...
ID                             | Ratio (%)  | Speed      | Ser+Comp   | De+Deser   | Status    
UgorjiCBOR/Gzip/len=100   | 46.99      | 17.59      | 23.35      | 71.30      | OK        
JsonIter/Bzip2/len=100    | 46.99      | 3.84       | 4.87       | 18.05      | OK        
SegmentioJSON/GozstdFastest/len=100 | 46.99      | 19.02      | 35.93      | 40.40      | OK        
UgorjiMsgPack/DataDogZstd/len=100 | 46.99      | 33.39      | 46.31      | 119.71     | OK        
CBOR/Pzip/len=100         | 46.99      | 6.26       | 12.10      | 12.95      | OK        
CBOR/Zlib/len=100         | 46.99      | 21.27      | 33.17      | 59.32      | OK        
JsonIter/Gozstd/len=100   | 46.99      | 45.83      | 128.96     | 71.10      | OK        
SegmentioJSON/DataDogZstdFastest/len=100 | 46.99      | 19.31      | 36.62      | 40.87      | OK        
UgorjiMsgPack/ZstdBest/len=100 | 46.99      | 22.95      | 28.50      | 117.99     | OK        
JsonIter/GozstdFastest/len=100 | 46.99      | 48.94      | 150.46     | 72.53      | OK        
JSON/Gozstd/len=100       | 46.99      | 25.24      | 55.18      | 46.51      | OK        
JsonIter/Zstd/len=100     | 46.99      | 14.81      | 20.99      | 50.23      | OK        
UgorjiSimple/ZstdBest/len=100 | 46.99      | 25.02      | 30.10      | 148.36     | OK        
CBOR/Flate/len=100        | 46.99      | 22.29      | 33.39      | 67.06      | OK        
JsonIter/DataDogZstdFastest/len=100 | 46.99      | 46.32      | 144.27     | 68.23      | OK        
SegmentioJSON/Gozstd/len=100 | 46.99      | 18.57      | 34.68      | 39.97      | OK        
TOML/Bzip2/len=100        | 46.99      | 3.05       | 3.86       | 14.41      | OK        
UgorjiBinc/DataDogZstd/len=100 | 46.99      | 42.47      | 60.30      | 143.67     | OK        
SegmentioJSON/Bzip2/len=100 | 46.99      | 3.38       | 4.37       | 14.94      | OK        
Sonic/Zstd/len=100        | 46.99      | 16.82      | 22.98      | 62.70      | OK        
TOML/Zstd/len=100         | 46.99      | 7.81       | 10.40      | 31.31      | OK        
CBOR/ZstdBest/len=100     | 46.99      | 24.08      | 31.73      | 99.85      | OK        
UgorjiCBOR/ZstdBest/len=100 | 46.99      | 24.07      | 29.66      | 127.61     | OK        
ShamatonMsgPack/DataDogZstd/len=100 | 46.99      | 42.55      | 56.61      | 171.30     | OK        
Sonic/Bzip2/len=100       | 46.99      | 3.88       | 4.82       | 19.85      | OK        
UgorjiBinc/ZstdBest/len=100 | 46.99      | 24.82      | 29.80      | 148.33     | OK        
TOML/Gozstd/len=100       | 46.99      | 12.65      | 18.25      | 41.28      | OK        
Sonic/Gozstd/len=100      | 46.99      | 51.99      | 111.26     | 97.59      | OK        
ShamatonMsgPack/ZstdBest/len=100 | 46.99      | 27.49      | 32.61      | 175.19     | OK        
CBOR/Gzip/len=100         | 46.99      | 19.39      | 28.21      | 62.00      | OK        
Sonic/GozstdFastest/len=100 | 46.99      | 52.61      | 122.45     | 92.25      | OK        
XML/DataDogZstd/len=100   | 46.99      | 7.31       | 26.90      | 10.05      | OK        
UgorjiCBOR/DataDogZstd/len=100 | 46.99      | 33.12      | 44.95      | 125.77     | OK        
CBOR/DataDogZstd/len=100  | 46.99      | 38.59      | 64.31      | 96.50      | OK        
SegmentioJSON/Zstd/len=100 | 46.99      | 10.04      | 14.53      | 32.43      | OK        
Sonic/DataDogZstdFastest/len=100 | 46.99      | 48.77      | 111.36     | 86.77      | OK        
EasyJSON/Zstd/len=100     | 46.99      | 16.52      | 21.68      | 69.41      | OK        
UgorjiCBOR/Flate/len=100  | 46.99      | 25.15      | 35.07      | 88.85      | OK        
JsonIterFastest/DataDogZstdFastest/len=100 | 46.99      | 48.94      | 145.48     | 73.75      | OK        
MsgPack/DataDogZstd/len=100 | 46.99      | 39.55      | 59.63      | 117.46     | OK        
CBORCanonical/Flate/len=100 | 46.99      | 20.94      | 30.76      | 65.53      | OK        
GoccyJSON/Zstd/len=100    | 46.99      | 14.64      | 19.42      | 59.48      | OK        
JSON/Zstd/len=100         | 46.99      | 11.62      | 16.88      | 37.32      | OK        
Msgp/DataDogZstd/len=100  | 46.99      | 49.49      | 63.87      | 219.85     | OK        
CBORCanonical/ZstdBest/len=100 | 46.99      | 23.23      | 30.99      | 92.73      | OK        
MsgPack/ZstdBest/len=100  | 46.99      | 23.19      | 29.67      | 106.15     | OK        
BurntSushiTOML/Gozstd/len=100 | 46.99      | 4.42       | 9.91       | 7.97       | OK        
EasyJSON/Bzip2/len=100    | 46.99      | 3.89       | 4.84       | 19.85      | OK        
XML/Flate/len=100         | 46.99      | 6.01       | 18.26      | 8.97       | OK        
GoccyJSON/Bzip2/len=100   | 46.99      | 3.78       | 4.73       | 18.78      | OK        
BurntSushiTOML/Bzip2/len=100 | 46.99      | 2.04       | 3.24       | 5.51       | OK        
JsonIterFastest/Zstd/len=100 | 46.99      | 15.92      | 22.96      | 51.85      | OK        
XML/Zlib/len=100          | 46.99      | 6.04       | 18.47      | 8.97       | OK        
EasyJSON/Gozstd/len=100   | 46.99      | 67.32      | 143.54     | 126.79     | OK        
GoccyJSON/Gozstd/len=100  | 46.99      | 39.99      | 71.75      | 90.33      | OK        
CBORCanonical/Zlib/len=100 | 46.99      | 20.67      | 31.73      | 59.29      | OK        
